id,source_id,fragment_type,text_excerpt,structured_payload,effect_direction,strength_score,extraction_method,extraction_confidence,date_extracted,notes
EVD-000610,SRC-000610,result,"Altering the diet to treat disease dates to c. 400 BC when starvation was used to reduce seizures in persons with epilepsy. The current diversity of symptomology and mechanisms underlying autism spectrum disorders (ASDs) and a corresponding lack of disorder-specific effective treatments prompts an evaluation of diet as a therapeutic approach to improve symptoms of ASDs. In this review article, we summarize the main findings of nutritional studies in ASDs, with an emphasis on the most common mono","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0007"", ""legacy_cause_id"": ""CAU-0006"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000611,SRC-000611,result,"Autism spectrum disorders share three core symptoms: impaired sociability, repetitive behaviors and communication deficits. Incidence is rising, and current treatments are inadequate. Seizures are a common comorbidity, and since the 1920's a high-fat, low-carbohydrate ketogenic diet has been used to treat epilepsy. Evidence suggests the ketogenic diet and analogous metabolic approaches may benefit diverse neurological disorders. Here we show that a ketogenic diet improves autistic behaviors in t","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0007"", ""legacy_cause_id"": ""CAU-0006"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000612,SRC-000612,result,"There is considerable scientific evidence that many aspects of diet influence the occurrence of human disease. Many factors such as genetic, psychological, environmental and behavioral characteristics influence development of human disease, and there is a close relationship between nutrition and disease. Though typical Western diets are not overtly deficient in essential nutrients, nutriture of a few micro nutrients such as folic acid has been reported to be sub-optimal, particularly in women of","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0008"", ""legacy_cause_id"": ""CAU-0003"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000613,SRC-000613,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0008"", ""legacy_cause_id"": ""CAU-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000614,SRC-000614,result,"The impact of prenatal folic acid on children's neurodevelopment and the risk of autism spectrum disorder (ASD) remain unclear and this review and meta-analysis aimed to quantify any associations. We systematically searched PubMed, Scopus and The Cochrane Library until June 2018 with no language restrictions. Standardised mean differences and odds ratio with 95% confidence intervals are used to describe any associations between folic acid and mental development, motor development and ASD. The se","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0008"", ""legacy_cause_id"": ""CAU-0003"", ""is_secondary_literature"": true}",unclear,0.1137,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000615,SRC-000615,result,"A number of studies have explored the link of antenatal folic acid (FA) intake with autism spectrum disorder (ASD) in children, with inconsistent findings. Therefore, we conducted a systematic review and meta-analysis of relevant studies to elucidate the actual association between maternal FA intake during the prenatal period and the risk of ASD in offspring. PubMed, EMBASE, PsycINFO, Scopus, Web of Science, and Cochrane Library were searched up to June 7, 2018, without language restriction. The","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0008"", ""legacy_cause_id"": ""CAU-0003"", ""is_secondary_literature"": true}",unclear,0.1137,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000616,SRC-000616,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0008"", ""legacy_cause_id"": ""CAU-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000617,SRC-000617,result,"Folate is required for metabolic processes and neural development. Insuring its adequate levels for pregnant women through supplementation of grain-based foods with synthetic folic acid (FA) in order to prevent neural tube defects has been an ongoing public health initiative. However, because women are advised to take multivitamins containing FA before and throughout pregnancy, the supplementation together with natural dietary folates has led to a demographic with high and rising serum levels of","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0008"", ""legacy_cause_id"": ""CAU-0003"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000618,SRC-000618,result,"We examined maternal prenatal vitamin use or supplemental folic acid intake during month one of pregnancy for association with autism spectrum disorder (ASD) in the Early Autism Risk Longitudinal Investigation, an enriched-risk pregnancy cohort. Total folic acid intake was calculated from monthly prenatal vitamins, multivitamins, and other supplement reports. Clinical assessments through age 3 years classified children as ASD (n = 38) or non-ASD (n = 153). In pregnancy month one, prenatal vitami","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0008"", ""legacy_cause_id"": ""CAU-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000619,SRC-000619,result,"Maternal folic acid (FA) protects against developmental toxicity from certain environmental chemicals. We examined combined exposures to maternal FA and pesticides in relation to autism spectrum disorder (ASD). Participants were California children born from 2000-2007 who were enrolled in the Childhood Autism Risks from Genetics and the Environment (CHARGE) case-control study at age 2-5 y, were clinically confirmed to have ASD (n=296) or typical development (n=220), and had information on matern","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0008"", ""legacy_cause_id"": ""CAU-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000620,SRC-000620,result,"The association between folic acid supplementation, prior to conception and/or during pregnancy and pregnancy outcomes, has been the subject of numerous studies. The worldwide recommendation of folic acid is at least 0.4 mg daily for all women of reproductive age, and 4-5 mg in high-risk women. In addition, evidence shows that folic acid supplementation could modulate other adverse pregnancy outcomes, specifically, in pregnancies complicated by seizure disorders, preeclampsia, anemia, fetal grow","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0008"", ""legacy_cause_id"": ""CAU-0003"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000621,SRC-000621,result,"To analyze the scientific production regarding maternal folic acid (FA) supplementation and its relationship with autistic spectrum disorder (ASD). We performed unrestricted electronic searches in the BIREME virtual bank, Virtual Health Library (VHL) and Medical Literature Analysis and Retrieval System Online (MEDLINE/PubMed) databases. For sample selection, articles that met the proposed objectives were included, published in English, Spanish and Portuguese, the use of Health Sciences Descripto","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0008"", ""legacy_cause_id"": ""CAU-0003"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000622,SRC-000622,result,"The association of maternal use of folic acid and multivitamin supplements before and during pregnancy with the risk of autism spectrum disorder (ASD) in offspring is unclear. To examine the associations between the use of maternal folic acid and multivitamin supplements before and during pregnancy and the risk of ASD in offspring. A case-control cohort study of 45 300 Israeli children born between January 1, 2003, and December 31, 2007, were followed up from birth to January 26, 2015, for the r","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0008"", ""legacy_cause_id"": ""CAU-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000623,SRC-000623,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0008"", ""legacy_cause_id"": ""CAU-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000624,SRC-000624,result,nan,"{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0008"", ""legacy_cause_id"": ""CAU-0003"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000625,SRC-000625,result,"Per- and polyfluoroalkyl substances (PFAS) are widespread environmental contaminants found in various consumer products, such as drinking water, infant formula, and food, as well as in human biospecimens, including blood, urine, breastmilk, and cerebrospinal fluid. Previous evidence indicates that PFAS exposure poses significant neurotoxic risks, owing to their ability to penetrate the blood-brain barrier and bioaccumulate in neural tissue. The developing brains of fetuses and infants are partic","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000626,SRC-000626,result,"This review presents a new perspective on the exacerbation of autism spectrum disorder (ASD) by per- and polyfluoroalkyl substances (PFAS) through the gut-liver-brain axis. We have summarized evidence reported on the involvement of the gut microbiome and liver inflammation that led to the onset and exacerbation of ASD symptoms. As PFAS are toxicants that particularly target liver, this review has comprehensively explored the possible interaction between PFAS and acetaminophen, another liver toxi","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000627,SRC-000627,result,"Per- and polyfluoroalkyl substances (PFAS) are persistent chemicals with many modern applications, leading to widespread contamination and universal human exposure. PFAS exposure during early life is of particular concern, given susceptibility of the developing fetal and infant brain to toxic exposures. This review aims to synthesize current evidence, discuss methodological challenges, and highlight research gaps to guide future studies on the impact of PFAS on neurodevelopment. Sixty-one studie","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000628,SRC-000628,result,"Prenatal exposure to per- and polyfluoroalkyl substances (PFAS) may be a risk factor for neurodevelopmental deficits and disorders, but evidence is inconsistent. We investigated whether prenatal exposure to PFAS were associated with childhood diagnosis of attention-deficit/hyperactivity disorder (ADHD) or autism spectrum disorder (ASD). This study was based on the Norwegian Mother, Father and Child Cohort Study and included n = 821 ADHD cases, n = 400 ASD cases and n = 980 controls. Diagnostic c","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000629,SRC-000629,result,"Epidemiologic evidence linking prenatal exposure to per- and polyfluoroalkyl substances (PFAS) with altered neurodevelopment is inconclusive, and few large studies have focused on autism-related outcomes. We investigated whether blood concentrations of PFAS in pregnancy are associated with child autism-related outcomes. We included 10 cohorts from the National Institutes of Health (NIH)-funded Environmental influences on Child Health Outcomes (ECHO) program (n = 1,429). We measured 14 PFAS analy","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000630,SRC-000630,result,"Per- and polyfluoroalkyl substances (PFAS) are a diverse class of highly persistent organofluorine compounds, and extensively used in industrial and consumer application. Their environmental ubiquity and bioaccumulation in humans have raised concerns about potential health impacts, particularly on neurodevelopment. This mini-review synthesizes epidemiological and experimental research published between 2020 and 2025 examining prenatal PFAS exposure and neurodevelopmental outcomes in children. Pr","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000631,SRC-000631,result,"Previous epidemiologic studies on gestational chemical exposures and autism spectrum disorder (ASD) often lack analysis of chemical mixtures or are limited to investigating certain chemical classes. We examined the impact of multi-class chemical mixtures on ASD risk, using data from the MARBLES (Markers of Autism Risks in Babies-Learning Early Signs) cohort. Children were clinically assessed at age 3 and classified as ASD, typical development (TD), or non-TD with other neurodevelopmental concern","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000632,SRC-000632,result,"Autism spectrum disorder (ASD), with its high economic and societal costs, is a growing public health concern whose prevalence has risen steadily over the last two decades. Although actual increased incidence versus improved diagnosis remains controversial, the increased prevalence of ASD suggests non-inherited factors as likely contributors. There is increasing epidemiologic evidence that abnormal maternal thyroid function during pregnancy is associated with increased risk of child ASD and othe","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000633,SRC-000633,result,"Evidence has indicated that some non-inherited factors such as exposure to environmental pollutants are associated with neurodevelopment disorders like autism spectrum disorder (ASD). Studies report that endocrine disrupting compounds (EDCs), including polychlorinated biphenyls, organochlorine pesticides, perfluoroalkyl substances (PFAS), and some metals, have adverse effects on the fetal neurodevelopment. The aim of this study was to measure the amniotic fluid (AF) levels of EDCs and metals as ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000634,SRC-000634,result,"Per- and polyfluoroalkyl substances (PFAS) are endocrine disruptors with unambiguous neurotoxic effects. However, due to variability in experimental models, population characteristics, and molecular endpoints, the elucidation of mechanisms underlying PFAS-induced neurotoxicity remains incomplete. In this review, we utilized the adverse outcome pathway (AOP) framework, a comprehensive tool for evaluating toxicity across multiple biological levels (molecular, cellular, tissue and organ, individual","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000635,SRC-000635,result,"Thyroid hormones supplied by the mother are essential for fetal brain development but could be disrupted by per- and polyfluoroalkyl substances (PFAS). We explored how prenatal PFAS exposures relate to maternal thyroid function in pregnant participants from the MARBLES cohort. We analyzed 212 serum samples from 151 pregnant women who later had a child with diagnosis of autism spectrum disorder (ASD), nontypical development (non-TD), or typical development (TD) by age 3. We quantified nine PFAS, ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000636,SRC-000636,result,"Young children may experience higher per- and polyfluoroalkyl substances (PFAS) exposure than adults due to breastfeeding, higher dust ingestion rates, and frequent hand-to-mouth activities. We explored temporal trends and determinants of child serum PFAS concentrations and their correlations with paired maternal PFAS concentrations. From 2009 to 2017, we collected one blood sample from each of 541 children aged 2-5 years participating in the Childhood Autism Risks from Genetics and Environment ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000637,SRC-000637,result,"Previous studies regarding the associations between perfluoroalkyl and polyfluoroalkyl substances (PFAS) and autism spectrum disorder (ASD) have yielded inconsistent results, with the underlying mechanisms remaining unknown. In this study, we quantified 13 PFAS in cord serum samples from 396 neonates and followed the children at age 4 to assess ASD-related symptoms. Our findings revealed associations between certain PFAS and ASD-related symptoms, with a doubling of perfluorononanoic acid (PFNA),","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000638,SRC-000638,result,"Per- and polyfluoroalkyl substances (PFASs) are among the persistent organic pollutants characterized by their persistence in the environment, high mobility, and adverse impact not only on the ecosystem but also on human health. The biggest challenges in human biomonitoring are the low concentrations of PFASs in biological matrices and the presence of matrix interferents in samples. The combination of liquid chromatography with tandem mass spectrometry (LC-MS/MS) and solid-phase extraction (SPE)","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000639,SRC-000639,result,"Per- and polyfluoroalkyl substances (PFAS) are a class of long-lasting chemicals with widespread use and environmental persistence that have been increasingly studied for their detrimental impacts to human and animal health. Several major PFAS species are linked to neurodevelopmental toxicity. For example, epidemiological studies have associated prenatal exposure to perfluorooctanoate (PFOA) and perfluorononanoate (PFNA) with autism risk. However, the neurodevelopmental toxicities of major PFAS ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000640,SRC-000640,result,"Environmental chemical exposures may disrupt child development, with long-lasting health impacts. To date, U.S. studies of early environmental exposures have been limited in size and diversity, hindering power and generalizability. With harmonized data from over 60,000 participants representing 69 pregnancy cohorts, the National Institutes of Health's Environmental influences on Child Health Outcomes (ECHO) Program is the largest study of U.S. children's health. Here, we: (1) review ECHO-wide st","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000641,SRC-000641,result,"Prenatal exposure to per- and polyfluoroalkyl substances (PFAS) has shown potential to adversely affect child brain development, but epidemiologic evidence remains inconsistent. We examined whether prenatal exposure to PFAS was associated with increased risk of autism spectrum disorder (ASD). Participants were 173 mother-child pairs from MARBLES (Markers of Autism Risk in Babies - Learning Early Signs), a high-risk ASD cohort. At 3 years old, children were clinically confirmed for ASD and classi","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000642,SRC-000642,result,"Emerging work has examined neurodevelopmental outcomes following prenatal exposure to per- and polyfluoroalkyl substances (PFAS), but few studies have assessed associations with autism spectrum disorder (ASD). Our objective was to estimate associations of maternal prenatal PFAS concentrations with ASD and intellectual disability (ID) in children. Participants were from a population-based nested case-control study of children born from 2000 to 2003 in southern California, including children diagn","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000643,SRC-000643,result,"Poly- and per-fluoroalkyl substances (PFAS) are a large group of synthetic compounds having a wide array of use in consumer products and industries, such as fire suppressant foam, nonstick cookware, paper, water-proof textiles, surfactants, aeronautics, and cosmetics. This widespread distribution of PFAS, their capacity to accumulate in living organisms, and their harmful effects represent a rising concern for public health. A multitude of studies have presented information on exposure to PFAS a","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000644,SRC-000644,result,"Perfluoroalkyl substances (PFASs) are persistent pollutants found to be endocrine disruptive and neurotoxic in animals. Positive correlations between PFASs and neurobehavioral problems in children were reported in cross-sectional data, but findings from prospective studies are limited. We investigated whether prenatal exposure to PFASs is associated with attention deficit/hyperactivity disorder (ADHD) or childhood autism in children. Among 83,389 mother-child pairs enrolled in the Danish Nationa","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000645,SRC-000645,result,"Prenatal exposure to environmental chemicals may be associated with autism or autistic-like behaviors. Previous studies suggest that these associations are stronger when folic acid (FA) supplementation is lower. We used data from the Maternal-Infant Research on Environmental Chemicals study, a Canadian pregnancy and birth cohort (2008-2011). We considered five separate chemical mixtures (measured during the first trimester of pregnancy): metals, organochlorine pesticides, per- and polyfluoroalky","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000646,SRC-000646,result,"Per- and polyfluoroalkyl substances (PFAS) display neurobehavioral toxicity in laboratory animal studies. We examined associations of modeled prenatal maternal exposure to PFAS with child diagnosis of autism spectrum disorder (ASD). Participants were 453 mother-child pairs from CHARGE (CHildhood Autism Risk from Genetics and Environment), a population-based case-control study. Children underwent psychometric testing and were clinically confirmed for ASD (n = 239) or typical development (TD, n = ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000647,SRC-000647,result,"Prenatal exposure to per- and polyfluoroalkyl substances (PFAS) has been linked to altered neurodevelopment in children, but the contribution of maternal metabolic disruption to this relationship remains unclear. We investigated associations between prenatal PFAS exposure, maternal metabolism, and child neurodevelopment. We analyzed 172 mother-child pairs from the MARBLES (Markers of Autism Risk in Babies-Learning Early Signs) cohort. Nine PFAS were measured in maternal serum collected during pr","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000648,SRC-000648,result,"Autism Spectrum Disorder (ASD) is a neurodevelopmental disorder characterized by social deficits and repetitive behaviors. Environmental pollutants may contribute to the etiology of ASD, but studies of perfluoroalkyl substances (PFAS) have shown conflicting results. We assessed associations between cord blood concentrations of PFAS with autistic traits at age seven years in a Singaporean birth cohort. We measured cord blood concentrations of eight PFAS in a sample of 430 mother-child pairs from ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000649,SRC-000649,result,"Exposure to per- and polyfluoroalkyl substances (PFAS) during pregnancy has been suggested to be associated with neurobehavioral problems in offspring. However, current epidemiological studies on the association between prenatal PFAS exposure and neurobehavioral problems among offspring, especially attention deficit/hyperactivity disorder (ADHD) and autism spectrum disorder (ASD), are inconsistent. Therefore, we aimed to study the relationship between PFAS exposure during pregnancy and ADHD and ","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": true}",unclear,0.1137,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000650,SRC-000650,result,"There is mixed evidence regarding the association between per- and polyfluoroalkyl substances (PFAS) and autism spectrum disorder (ASD). We matched 294 ASD cases to 286 controls by sex, birth year, and exposure to selected pesticides and air pollution. All participants were born in the California Central Valley from 2004 to 2010. Using high-resolution metabolomic profiling, three PFAS were measured in >60% of maternal serum samples: perfluorooctanoic acid (PFOA), perfluorohexanesulfonic acid, an","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000651,SRC-000651,result,"Per- and polyfluoroalkyl substances (PFAS) are shown to have neurotoxic effects on animals, but epidemiological evidence for associations between childhood PFAS exposure and neurodevelopment is inconclusive. We examined if childhood PFAS concentrations are associated with a diagnosis of autism spectrum disorder (ASD), developmental delay (DD), and other early concerns (OEC) in development. We included 551 children 2-5 years old from the CHildhood Autism Risks from Genetics and Environment (CHARG","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000652,SRC-000652,result,"Perfluoroalkyl and polyfluoroalkyl substances (PFAS) are ubiquitous persistent organic pollutants associated with adverse health outcomes in humans. Although they are associated with autism spectrum disorder and behavioural outcomes, whether PFAS affect brain development is unclear. We aimed to characterise the relationship between maternal PFAS and brain structure and function in typically developing children. This study was set within the FinnBrain Birth Cohort Study, a prospective observation","{""replicated"": ""unknown"", ""legacy_intervention_id"": ""INT-0009"", ""legacy_cause_id"": ""CAU-0004"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000653,SRC-000653,result,"To examine associations between early developmental exposure to ambient pesticides and autism spectrum disorder. Population based case-control study. California's main agricultural region, Central Valley, using 1998-2010 birth data from the Office of Vital Statistics. 2961 individuals with a diagnosis of autism spectrum disorder based on the Data from California state mandated Pesticide Use Reporting were integrated into a geographic information system tool to estimate prenatal and infant exposu","{""replicated"": ""unknown"", ""legacy_cause_id"": ""CAU-0005"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000654,SRC-000654,result,"Nowadays, there seems to be a consensus about the multifactorial nature of autism spectrum disorders (ASD). The literature provides hypotheses dealing with numerous environmental factors and genes accounting for the apparently higher prevalence of this condition. Researchers have shown evidence regarding the impact of gut bacteria on neurological outcomes, altering behavior and potentially affecting the onset and/or severity of psychiatric disorders. Pesticides and agrotoxics are also included a","{""replicated"": ""unknown"", ""legacy_cause_id"": ""CAU-0005"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000655,SRC-000655,result,"Epidemiological studies have found 2 significant factors associated with the increased incidence of autism spectrum disorder (ASD): the increased use of acetaminophen in the 1970s when this drug largely replaced the use of aspirin for many patients because of a fear of Reye syndrome, and the agricultural use in the 1990s of the herbicide glyphosate on crops that were genetically modified (GM) to tolerate glyphosate. The incidence of autism in the United States, where acetaminophen is widely avai","{""replicated"": ""unknown"", ""legacy_cause_id"": ""CAU-0005"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000656,SRC-000656,result,"Glyphosate is the active ingredient in glyphosate-based herbicides (GBHs), such as Roundup™, the most widely used herbicides in the world. Glyphosate targets an essential enzyme in plants that is not found in animals. However, both glyphosate and GBHs are rated as Group 2A, probable human carcinogens, and also have documented effects on reproduction, acting as endocrine disruptive chemicals. We have reviewed reports of the effects of glyphosate and GBHs on mammalian nervous system function. As w","{""replicated"": ""unknown"", ""legacy_cause_id"": ""CAU-0005"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000657,SRC-000657,result,The prevalence of diagnosed autism has increased rapidly over the last several decades among U.S. children. Environmental factors are thought to be driving this increase and a list of the top ten suspected environmental toxins was published recently. Temporal trends in autism for birth years 1970-2005 were derived from a combination of data from the California Department of Developmental Services (CDDS) and the United States Individuals with Disabilities Education Act (IDEA). Temporal trends in ,"{""replicated"": ""unknown"", ""legacy_cause_id"": ""CAU-0005"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000658,SRC-000658,result,nan,"{""replicated"": ""unknown"", ""legacy_cause_id"": ""CAU-0005"", ""is_secondary_literature"": false}",unclear,0.0813,rule_based,0.95,2026-04-24T17:07:31+00:00,
EVD-000659,SRC-000659,result,"Autism is a neurodevelopmental disorder, the prevalence of which has increased dramatically in the United States over the past two decades. It is characterized by stereotyped behaviors and impairments in social interaction and communication. In this paper, we present evidence that autism can be viewed as a PIN1 deficiency syndrome. Peptidyl-prolyl cis/trans isomerase, NIMA-Interacting 1 (PIN1) is a peptidyl-prolyl cis/trans isomerase, and it has widespread influences in biological organisms. Bro","{""replicated"": ""unknown"", ""legacy_cause_id"": ""CAU-0005"", ""is_secondary_literature"": true}",unclear,0.0626,rule_based,0.95,2026-04-24T17:07:31+00:00,
