id,name,category,subcategory,alternate_names,sample_type,units,reference_low,reference_high,reference_optimal_low,reference_optimal_high,age_caveat,what_it_measures,elevated_means,low_means,test_availability,test_cost_usd_low,test_cost_usd_high,turnaround_days,clia_status,lab_options,snp_dependence,interpretation_summary,mechanisms_indicated,phenotypes_stratified,interventions_modulates,hypotheses_tests,key_pmids,created_at,last_updated,notes
BIO-0159,Anandamide (AEA),endocannabinoid,endocannabinoid,,plasma,pmol/mL,,,,,,Primary endocannabinoid; CB1/CB2 receptor agonist,,,research,,,,,,,,MEC-0018,,,HYP-0055,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0160,2-arachidonoylglycerol (2-AG),endocannabinoid,endocannabinoid,,plasma,pmol/mL,,,,,,Major endocannabinoid; full CB1/CB2 agonist,,,research,,,,,,,,MEC-0018,,,HYP-0055,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0161,MTHFR C677T genotype,genetic_snp,methylation_genetic,,buccal_or_blood,genotype (CC/CT/TT),,,,,,C677T variant — affects 5-MTHF activation efficiency,,,commercial_dtc,,,,,"23andMe, Quest, LabCorp",self,TT homozygous: 70% reduction in MTHFR activity; needs methylated folate not folic acid,MEC-0003,,INT-0008,"HYP-0001,HYP-0003",,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0162,MTHFR A1298C genotype,genetic_snp,methylation_genetic,,buccal_or_blood,genotype (AA/AC/CC),,,,,,A1298C variant — affects MTHFR activity differently than C677T,,,commercial_dtc,,,,,,self,,MEC-0003,,,HYP-0001,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0163,COMT V158M (Val/Met) genotype,genetic_snp,catecholamine_genetic,,buccal_or_blood,"genotype (Val/Val, Val/Met, Met/Met)",,,,,,Catechol-O-methyltransferase variant — affects dopamine breakdown,,,commercial_dtc,,,,,,self,"Met/Met = slow COMT, more sensitive to methyl donors; affects stimulant + SSRI response","MEC-0003,MEC-0007",,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0164,CBS upregulation variants,genetic_snp,transsulfuration_genetic,,buccal_or_blood,genotype,,,,,,Cystathionine beta-synthase upregulators — accelerate transsulfuration,,,commercial,,,,,,self,,MEC-0003,,,,,2026-04-30T01:50:29+00:00,2026-04-30T01:50:29+00:00,
BIO-0165,Vitamin D 25-OH (child / direct),trace_minerals,essential_vitamin,,serum,ng/mL,30,80,40,60,,Direct child vitamin D status — most-studied single nutrient biomarker in autism,,Vitamin D deficiency (<30 ng/mL) very common in autism; immune dysregulation + serotonin synthesis (TPH2) impacts,standard_clinical,40,80,,CLIA,"Quest, LabCorp",,Target 40-60 ng/mL for autism. Most pediatric mainstream 'normal' (>20) is inadequate.,"MEC-0002,MEC-0029",,,"HYP-0045,HYP-0062",,2026-04-30T02:06:58+00:00,2026-04-30T02:06:58+00:00,
BIO-0166,Urinary porphyrins (heavy metal body burden surrogate),heavy_metals,body_burden_surrogate,,urine_24h,μg/g creatinine,,,,,,Porphyrin profile reflecting heavy metal interference with heme synthesis,Mercury and/or other heavy metal body burden suggested,,commercial,100,250,,,"Doctor's Data, Lab Corp",,Coproporphyrin / pentacarboxyporphyrin / precoproporphyrin patterns specific for mercury; clinically used in autism heavy-metal subgroup workup,"MEC-0001,MEC-0010",,,"HYP-0015,HYP-0069",,2026-04-30T02:06:58+00:00,2026-04-30T02:06:58+00:00,
BIO-0167,FUT2 secretor status genotype,genetic_snp,microbiome_genetic,,buccal_or_blood,genotype (secretor/non-secretor),,,,,,"FUT2 alpha-1,2-fucosyltransferase variant; non-secretors have altered B12 absorption + microbiome composition",,,commercial_dtc,,,,,"23andMe, SelfDecode",self,"Non-secretors (~20% population) have lower B12, less Bifidobacterium, different microbiome — affects autism workup interpretation",MEC-0008,,,"HYP-0007,HYP-0056",,2026-04-30T02:06:58+00:00,2026-04-30T02:06:58+00:00,
BIO-0168,Urinary oxalate,oat_microbial,oxalate,,urine_24h_or_spot,mmol/g creatinine,,,,,,Oxalate excretion — high oxalate ↔ Candida + GI permeability + mito stress,Oxalate overload; GI absorption issues + Candida + low-oxalate diet candidate,,commercial,,,,,"Mosaic OAT, Great Plains",,Per Susan Costen Owens / Trying Low Oxalates framework,"MEC-0008,MEC-0010",,,"HYP-0007,HYP-0061",,2026-04-30T02:06:58+00:00,2026-04-30T02:06:58+00:00,
BIO-0169,CYP2D6 genotype,genetic_snp,pharmacogenomic,,buccal_or_blood,phenotype (poor/intermediate/normal/rapid/ultra-rapid metabolizer),,,,,,"CYP2D6 drug-metabolism variant — affects SSRI, antipsychotic, atomoxetine, codeine response",,,standard_clinical,,,,CLIA,"GeneSight, Genomind, Tempus PGx, standard clinical labs",self,Critical pre-prescription test for autistic kids being prescribed psychotropics. Ultra-rapid metabolizers can have toxic effects at standard doses; poor metabolizers can have no effect.,,,,,,2026-04-30T02:06:58+00:00,2026-04-30T02:06:58+00:00,
BIO-0170,CYP3A4 / CYP3A5 genotype,genetic_snp,pharmacogenomic,,buccal_or_blood,phenotype,,,,,,"CYP3A4/5 metabolism — affects benzodiazepines, statins, immunosuppressants (rapamycin)",,,standard_clinical,,,,CLIA,,self,Important for rapamycin dosing in TSC/PTEN autism subgroups,,,INT-0036,,,2026-04-30T02:06:58+00:00,2026-04-30T02:06:58+00:00,
BIO-0171,CYP2C19 genotype,genetic_snp,pharmacogenomic,,buccal_or_blood,phenotype,,,,,,"CYP2C19 metabolism — affects PPIs, SSRIs (citalopram, escitalopram), clobazam",,,standard_clinical,,,,CLIA,,self,Common SSRI metabolism variant; pediatric prescribing implications,,,,,,2026-04-30T02:06:58+00:00,2026-04-30T02:06:58+00:00,
BIO-0172,Anti-NMDA receptor antibodies,autoimmune,autoimmune_encephalitis,,serum_or_csf,titer,,,,,,Anti-NMDA receptor encephalitis screen — distinct from PANS/PANDAS,Autoimmune encephalitis; immunotherapy candidate,,commercial,,,,CLIA,"Mayo Clinic, ARUP, Quest",,CSF testing more sensitive than serum,"MEC-0002,MEC-0020",,,"HYP-0026,HYP-0051",,2026-04-30T02:06:58+00:00,2026-04-30T02:06:58+00:00,
BIO-0173,Anti-MOG (myelin oligodendrocyte glycoprotein),autoimmune,autoimmune_encephalitis,,serum_or_csf,titer,,,,,,MOG antibody disease screen; CNS demyelination,,,commercial,,,,CLIA,Mayo Clinic,,,,,,HYP-0051,,2026-04-30T02:06:58+00:00,2026-04-30T02:06:58+00:00,
BIO-0174,Anti-GAD65 antibodies,autoimmune,autoimmune_encephalitis,,serum_or_csf,titer,,,,,,GAD65 autoimmunity — affects GABA synthesis; rare encephalitis cause,,,commercial,,,,CLIA,,,Connects to GABA developmental switch hypothesis,"MEC-0007,MEC-0034",,,HYP-0071,,2026-04-30T02:06:58+00:00,2026-04-30T02:06:58+00:00,
BIO-0175,Salivary cortisol awakening response (CAR),endocrine,hpa_axis_alternative,,saliva_morning,nmol/L composite,,,,,,Cortisol awakening response — HPA axis alternative to DUTCH,,,specialty,,,,,"ZRT Lab, Genova",,"4-point morning saliva (waking, +30min, +45min, +60min); reveals HPA reactivity that single morning cortisol misses",MEC-0016,,,"HYP-0036,HYP-0037",,2026-04-30T02:06:58+00:00,2026-04-30T02:06:58+00:00,
BIO-0176,"Lipid panel (TC, LDL, HDL, triglycerides)",endocrine,metabolic,,serum,mg/dL composite,,,,,,Lipid metabolism; emerging metabolic-autism overlap,,,standard_clinical,,,,CLIA,,,Low total cholesterol can indicate Smith-Lemli-Opitz; high triglycerides ↔ insulin resistance subgroup,"MEC-0011,MEC-0012",,,"HYP-0018,HYP-0019",,2026-04-30T02:06:58+00:00,2026-04-30T02:06:58+00:00,
BIO-0177,ApoE genotype,genetic_snp,lipid_genetic,,buccal_or_blood,genotype (E2/E3/E4),,,,,,"Apolipoprotein E variant — lipid metabolism, neuroinflammation, BBB permeability",,,commercial_dtc,,,,,"23andMe, ApoE-specific clinical tests",self,E4 carriers more vulnerable to neuroinflammation + BBB disruption; emerging autism research relevance,"MEC-0004,MEC-0031",,,,,2026-04-30T02:06:58+00:00,2026-04-30T02:06:58+00:00,
BIO-0178,Comprehensive Stool Analysis (GI-MAP / CDSA composite),gi_barrier,comprehensive_panel,,stool,qPCR composite,,,,,,Strain-level bacterial / fungal / parasite / viral quantification + barrier + inflammation markers,,,specialty,350,500,,,"Diagnostic Solutions Lab (GI-MAP), Doctor's Data CDSA, Genova GI Effects",,"Per Diagnostic Solutions Lab GI-MAP framework; complements OAT (which measures metabolites, not organisms)",MEC-0008,PHE-0004,"INT-0076,INT-0025","HYP-0007,HYP-0056,HYP-0057,HYP-0061",,2026-04-30T02:06:58+00:00,2026-04-30T02:06:58+00:00,
